,age,sex,education,income,east-west,happiness,health,lived_abroad,orientation,orientation_cat
51,69,Female,5,2650,West,10,5,No,3,Center-Left
52,66,Female,5,650,West,10,5,No,2,Left
53,76,Male,2,1000,East,9,2,No,5,Center-Right
54,67,Male,5,860,East,6,3,Yes,9,Right
55,58,Male,2,1100,West,4,3,No,2,Left
56,68,Female,2,400,West,9,4,No,5,Center-Right
57,25,Male,3,1500,West,10,4,No,6,Center-Right
58,59,Male,5,3500,West,9,3,Yes,2,Left
59,40,Female,3,1300,West,9,3,No,6,Center-Right
60,30,Female,5,1520,East,9,5,No,5,Center-Right
61,62,Female,2,600,West,8,3,No,3,Center-Left
62,26,Male,5,2000,East,9,4,No,6,Center-Right
63,54,Female,3,714,West,3,3,No,2,Left
64,69,Male,5,700,East,6,4,Yes,9,Right
65,28,Male,5,3000,East,8,5,No,6,Center-Right
66,83,Male,2,1050,West,10,3,No,6,Center-Right
67,56,Female,3,1063,West,10,3,No,2,Left
68,65,Female,3,800,East,4,3,No,3,Center-Left
69,80,Female,2,265,West,8,1,No,6,Center-Right
70,28,Female,4,1800,West,9,5,No,3,Center-Left
71,51,Male,2,1900,West,8,3,No,9,Right
72,66,Female,2,600,West,8,4,No,3,Center-Left
73,58,Male,2,1650,West,8,3,No,3,Center-Left
74,73,Male,2,1063,East,5,4,No,9,Right
75,56,Female,3,940,East,4,2,No,2,Left
76,82,Female,5,1600,East,8,3,No,1,Left
77,47,Female,3,1000,East,7,3,No,6,Center-Right
78,36,Female,2,450,West,10,5,No,2,Left
79,59,Female,3,1100,West,9,4,No,6,Center-Right
80,21,Female,5,710,West,8,3,Yes,6,Center-Right
81,40,Male,4,1800,West,8,4,No,5,Center-Right
82,48,Female,5,1600,West,5,3,Yes,1,Left
83,62,Female,4,900,East,8,3,No,6,Center-Right
84,88,Female,2,1000,East,8,3,No,6,Center-Right
85,54,Female,3,2100,East,7,2,Yes,3,Center-Left
86,35,Male,2,4000,West,8,3,No,9,Right
87,69,Male,3,1000,East,9,3,No,9,Right
88,62,Female,3,688,West,8,4,No,3,Center-Left
89,49,Female,3,700,East,8,4,No,1,Left
90,37,Female,5,1600,East,8,4,No,6,Center-Right
91,52,Female,5,1750,West,8,5,No,6,Center-Right
92,31,Male,5,2000,West,6,4,Yes,2,Left
93,67,Female,5,3000,West,9,5,Yes,2,Left
94,48,Male,2,3000,West,9,4,No,6,Center-Right
95,66,Male,5,2100,East,5,2,No,1,Left
96,36,Female,5,2100,West,9,4,Yes,6,Center-Right
97,44,Female,4,1625,East,5,4,No,1,Left
98,44,Male,5,6250,East,9,4,No,2,Left
99,64,Male,4,1100,West,7,3,No,6,Center-Right
100,76,Female,2,1500,East,9,3,No,1,Left
101,51,Male,2,1500,West,10,5,Yes,6,Center-Right
102,46,Female,3,1200,West,9,3,No,3,Center-Left
103,66,Female,3,1400,West,8,4,No,5,Center-Right
104,46,Female,3,995,East,10,3,No,5,Center-Right
105,61,Female,3,1875,West,9,4,No,2,Left
106,66,Male,2,1800,West,8,3,No,3,Center-Left
107,55,Male,3,2300,West,8,5,Yes,6,Center-Right
108,38,Male,4,2875,West,9,4,Yes,2,Left
109,33,Female,5,2000,East,9,4,No,6,Center-Right
110,78,Female,3,1000,East,5,3,No,3,Center-Left
111,41,Female,5,1650,East,8,4,No,2,Left
112,33,Female,3,2060,East,8,4,No,9,Right
113,19,Male,2,592,West,5,3,No,11,Right
114,41,Female,4,1300,East,7,5,No,1,Left
115,45,Male,5,1750,West,10,5,No,6,Center-Right
116,20,Male,3,150,East,4,2,Yes,3,Center-Left
117,33,Male,2,2100,West,2,3,No,9,Right
118,38,Male,3,4200,West,7,3,No,9,Right
119,48,Male,5,4000,West,8,4,No,6,Center-Right
120,57,Female,3,1600,East,8,5,No,9,Right
121,26,Male,5,1600,West,10,5,No,2,Left
122,33,Female,4,2300,West,9,5,No,2,Left
123,62,Male,2,8750,West,10,4,Yes,9,Right
124,62,Male,3,1625,East,9,5,No,5,Center-Right
125,52,Female,3,1300,East,7,4,No,3,Center-Left
126,73,Female,5,938,West,10,4,No,6,Center-Right
127,38,Female,2,450,West,8,5,No,1,Left
128,39,Male,3,2100,West,9,5,Yes,3,Center-Left
129,52,Male,5,4500,West,7,3,No,6,Center-Right
130,58,Female,5,1500,East,10,2,No,6,Center-Right
131,50,Female,3,750,West,8,3,No,3,Center-Left
132,18,Male,5,400,West,9,3,No,6,Center-Right
133,38,Female,3,2170,East,9,3,No,1,Left
134,54,Male,3,2875,East,8,4,No,9,Right
135,57,Male,3,1900,West,10,5,Yes,6,Center-Right
136,52,Female,3,480,West,4,1,No,6,Center-Right
137,34,Female,5,2000,West,8,4,No,2,Left
138,52,Male,5,4800,West,10,5,No,3,Center-Left
139,37,Female,5,1750,West,9,4,No,2,Left
140,56,Female,5,1625,East,8,4,No,5,Center-Right
141,36,Female,2,1600,West,5,2,No,2,Left
142,40,Male,5,3600,East,8,3,No,2,Left
143,60,Male,3,320,East,6,3,No,3,Center-Left
144,51,Male,3,850,East,3,3,No,6,Center-Right
145,74,Female,2,700,West,9,4,No,2,Left
146,60,Female,5,4500,East,9,4,Yes,2,Left
147,70,Female,5,1100,West,9,5,Yes,2,Left
148,64,Male,4,688,East,8,5,No,6,Center-Right
149,64,Female,3,1000,East,9,3,No,9,Right
150,41,Female,3,1850,West,9,4,No,2,Left
151,65,Female,5,900,East,9,4,No,1,Left
152,25,Female,3,1000,East,7,4,No,3,Center-Left
153,56,Female,5,3000,West,8,5,No,3,Center-Left
154,30,Female,5,1500,East,9,4,No,6,Center-Right
155,58,Male,3,900,East,7,2,No,1,Left
156,58,Male,2,2000,West,8,4,No,3,Center-Left
157,57,Male,2,350,East,5,1,No,9,Right
158,65,Female,5,2125,East,9,4,No,1,Left
159,78,Female,2,1200,East,7,4,No,1,Left
160,34,Male,3,1300,East,7,4,No,9,Right
161,77,Female,2,2600,West,8,3,Yes,5,Center-Right
162,60,Male,5,4300,West,10,5,Yes,6,Center-Right
163,49,Female,2,1100,West,5,4,No,9,Right
164,42,Female,3,1500,East,10,3,No,6,Center-Right
165,51,Female,3,1300,East,7,3,No,1,Left
166,48,Female,3,1200,East,10,2,No,6,Center-Right
167,39,Female,4,2259,East,7,4,Yes,2,Left
168,65,Male,3,804,East,8,4,No,3,Center-Left
169,72,Male,2,3300,West,8,1,No,3,Center-Left
170,56,Male,3,640,East,0,1,No,6,Center-Right
171,51,Female,3,5000,East,9,5,No,5,Center-Right
172,28,Male,3,1900,West,9,4,No,6,Center-Right
173,44,Female,2,1100,West,3,2,No,9,Right
174,45,Female,4,2875,West,8,2,No,2,Left
175,25,Male,3,2000,West,9,4,No,9,Right
176,18,Male,3,440,East,8,3,No,1,Left
177,25,Female,5,1500,West,7,5,No,3,Center-Left
178,28,Male,3,2000,West,3,4,No,9,Right
179,56,Male,5,3500,West,9,4,No,6,Center-Right
180,48,Female,3,450,West,8,4,No,2,Left
181,40,Female,4,1700,West,9,3,No,5,Center-Right
182,72,Male,2,820,West,10,4,No,6,Center-Right
183,82,Male,2,1500,West,10,3,No,2,Left
184,53,Female,3,1100,East,8,4,No,6,Center-Right
185,25,Male,3,1600,West,8,4,No,4,Center-Left
186,84,Female,2,1400,East,9,2,No,6,Center-Right
187,53,Female,3,1800,West,9,4,No,2,Left
188,20,Female,5,1400,East,8,5,Yes,9,Right
189,40,Male,2,4000,West,8,4,No,6,Center-Right
190,18,Female,2,450,West,0,1,No,6,Center-Right
191,76,Female,2,1800,East,7,2,No,6,Center-Right
192,63,Female,3,1875,East,9,4,No,6,Center-Right
193,58,Male,3,3500,West,7,3,No,2,Left
194,55,Female,3,1000,West,9,4,No,6,Center-Right
195,66,Male,2,3000,West,8,3,No,6,Center-Right
196,29,Male,2,1600,West,8,4,Yes,6,Center-Right
197,20,Female,5,800,West,8,4,No,3,Center-Left
198,48,Male,5,3000,East,9,4,No,6,Center-Right
199,80,Male,2,2000,West,10,4,Yes,3,Center-Left
200,61,Female,4,1500,West,5,3,Yes,2,Left
201,72,Male,4,1500,East,5,4,No,1,Left
202,65,Female,5,1500,East,8,5,No,6,Center-Right
203,53,Female,5,3000,East,8,4,No,2,Left
204,32,Male,2,2250,West,10,4,No,3,Center-Left
205,58,Male,2,1400,West,0,3,No,4,Center-Left
206,28,Male,5,700,East,8,5,No,2,Left
207,48,Male,3,1200,East,8,3,No,9,Right
208,29,Male,5,2500,West,9,5,No,2,Left
209,66,Male,3,563,East,7,3,No,9,Right
210,68,Male,3,1600,West,6,3,No,6,Center-Right
211,52,Female,5,2500,West,8,4,No,3,Center-Left
212,33,Male,5,3400,West,10,5,Yes,5,Center-Right
213,73,Female,3,1300,West,8,3,No,2,Left
214,34,Male,5,100,West,7,2,Yes,5,Center-Right
215,24,Male,5,1000,West,8,4,Yes,2,Left
216,54,Female,5,500,West,10,3,No,5,Center-Right
217,46,Male,3,2300,West,9,4,No,6,Center-Right
218,67,Male,3,1200,East,9,4,No,1,Left
219,49,Female,5,2500,West,7,4,Yes,6,Center-Right
220,33,Male,5,2375,West,8,4,No,6,Center-Right
221,48,Male,3,2700,West,7,2,Yes,9,Right
222,40,Male,5,5200,East,5,3,No,6,Center-Right
223,40,Female,5,1187,West,10,3,No,6,Center-Right
224,35,Female,5,1900,East,8,3,No,6,Center-Right
225,83,Female,2,1400,West,8,1,No,3,Center-Left
226,76,Female,5,1260,East,8,3,No,3,Center-Left
227,73,Male,3,850,East,3,3,No,2,Left
228,39,Female,5,3500,West,6,4,No,2,Left
229,43,Male,3,1100,West,7,3,No,5,Center-Right
230,81,Male,2,1221,East,8,3,No,6,Center-Right
231,20,Male,3,700,West,8,3,No,3,Center-Left
232,37,Male,4,4200,West,9,5,Yes,6,Center-Right
233,54,Male,4,3550,West,8,4,No,6,Center-Right
234,67,Male,3,2500,East,8,4,No,6,Center-Right
235,53,Male,5,3500,East,8,4,Yes,1,Left
236,64,Female,2,2000,West,8,4,No,6,Center-Right
237,76,Male,5,1063,East,6,4,Yes,1,Left
238,40,Female,3,700,East,6,3,No,9,Right
239,42,Female,4,1800,West,9,2,Yes,2,Left
240,57,Male,3,2000,East,8,4,No,5,Center-Right
241,64,Female,2,1260,West,5,2,No,3,Center-Left
242,41,Female,3,625,West,7,3,No,6,Center-Right
243,74,Male,2,1800,West,10,5,No,6,Center-Right
244,48,Female,3,1600,West,5,2,Yes,1,Left
245,29,Male,5,800,West,9,5,No,2,Left
246,30,Male,5,1700,East,8,4,No,1,Left
247,23,Female,2,267,West,9,4,No,3,Center-Left
248,75,Female,2,900,West,8,4,No,6,Center-Right
249,43,Female,3,2100,West,8,4,No,3,Center-Left
250,27,Female,5,1400,East,8,4,No,2,Left
251,71,Male,2,720,West,5,4,No,1,Left
252,29,Female,5,650,East,8,5,No,1,Left
253,54,Male,3,724,West,0,1,Yes,4,Center-Left
254,34,Female,4,1100,West,8,3,Yes,3,Center-Left
255,50,Male,3,3000,West,9,5,No,3,Center-Left
256,64,Male,5,3500,East,9,4,No,3,Center-Left
257,73,Female,2,110,West,6,3,No,2,Left
258,22,Male,3,500,West,10,5,Yes,2,Left
259,44,Female,5,1063,West,10,5,No,3,Center-Left
260,54,Male,5,6000,West,9,4,Yes,6,Center-Right
261,52,Female,3,1234,East,9,4,No,3,Center-Left
262,47,Female,5,3200,West,9,4,No,3,Center-Left
263,27,Female,4,2100,West,8,5,No,2,Left
264,35,Female,2,2000,West,10,4,No,6,Center-Right
265,62,Male,5,4005,West,9,4,Yes,2,Left
266,66,Female,5,875,West,7,3,Yes,2,Left
267,61,Male,3,2375,West,8,3,No,2,Left
268,75,Female,2,900,West,5,3,No,3,Center-Left
269,48,Female,2,700,West,10,5,No,3,Center-Left
270,48,Male,5,3800,East,8,4,No,3,Center-Left
271,82,Female,2,1100,East,7,4,No,1,Left
272,75,Male,2,1500,East,8,3,No,3,Center-Left
273,48,Male,5,2200,East,7,4,Yes,1,Left
274,39,Female,5,1188,West,10,5,No,9,Right
275,31,Male,2,1625,East,3,3,No,1,Left
276,73,Female,2,291,West,9,4,No,6,Center-Right
277,28,Male,3,1550,East,8,4,No,9,Right
278,20,Male,4,700,West,9,4,No,2,Left
279,76,Female,2,670,East,6,3,No,6,Center-Right
280,53,Female,5,2800,East,10,5,No,6,Center-Right
281,75,Female,2,1200,East,5,3,No,6,Center-Right
282,31,Male,3,1600,West,10,5,Yes,3,Center-Left
283,53,Female,3,1200,East,8,4,No,6,Center-Right
284,24,Female,5,180,West,8,5,No,6,Center-Right
285,26,Male,5,400,East,10,5,No,3,Center-Left
286,30,Female,5,2080,East,9,3,Yes,2,Left
287,51,Male,5,4000,West,7,2,Yes,5,Center-Right
288,25,Male,2,1400,West,7,4,No,9,Right
289,52,Male,5,2500,West,9,4,No,1,Left
290,45,Female,5,1800,West,7,3,Yes,2,Left
291,68,Male,5,3100,West,10,5,Yes,1,Left
292,27,Female,5,400,West,7,5,Yes,3,Center-Left
293,31,Female,5,1600,West,9,4,No,3,Center-Left
294,42,Female,3,1063,West,8,3,No,2,Left
295,76,Male,2,1200,West,6,3,No,9,Right
296,52,Female,3,1800,West,8,4,No,2,Left
297,48,Female,3,1188,East,9,4,No,9,Right
298,65,Male,3,2625,West,7,3,No,2,Left
299,40,Male,3,2000,West,6,2,No,6,Center-Right
300,57,Male,5,3000,West,6,3,No,2,Left
301,50,Male,3,3000,West,5,4,No,6,Center-Right
302,48,Male,3,3000,West,9,5,No,1,Left
303,38,Female,2,550,East,5,4,No,6,Center-Right
304,54,Male,3,2875,West,10,5,No,9,Right
305,34,Female,5,1500,East,7,4,No,6,Center-Right
306,76,Male,2,1477,West,4,1,Yes,3,Center-Left
307,53,Female,2,1000,West,8,3,No,3,Center-Left
308,60,Male,5,3400,West,8,3,No,6,Center-Right
309,34,Female,3,1313,East,9,4,No,6,Center-Right
310,88,Male,5,3000,West,10,5,No,9,Right
311,44,Male,3,3200,West,9,4,No,1,Left
312,86,Male,3,1700,East,7,3,No,1,Left
313,67,Female,2,450,West,10,4,No,2,Left
314,59,Female,5,1400,East,8,4,No,1,Left
315,53,Female,4,1200,East,7,3,No,3,Center-Left
316,48,Female,4,2200,West,9,3,No,3,Center-Left
317,85,Female,2,1450,West,4,1,No,6,Center-Right
318,46,Male,5,2800,West,8,4,No,6,Center-Right
319,59,Male,3,2375,West,9,3,No,6,Center-Right
320,74,Male,2,1150,East,8,5,No,1,Left
321,51,Male,2,1700,West,10,3,No,3,Center-Left
322,83,Female,2,1400,West,9,5,No,2,Left
323,57,Female,3,2375,West,6,3,No,6,Center-Right
324,61,Female,4,1700,West,9,3,No,2,Left
325,29,Female,5,4000,West,9,4,Yes,3,Center-Left
326,90,Male,2,1800,West,8,3,No,3,Center-Left
327,45,Female,5,1650,West,7,5,No,1,Left
328,72,Male,2,1100,East,8,4,No,3,Center-Left
329,49,Male,5,1200,West,7,4,No,1,Left
330,82,Male,3,1600,West,8,3,Yes,9,Right
331,55,Male,2,1300,West,8,3,No,3,Center-Left
332,78,Female,2,1500,West,5,2,No,6,Center-Right
333,39,Male,2,1400,West,6,3,Yes,3,Center-Left
334,52,Male,3,3000,West,9,5,No,6,Center-Right
335,65,Female,3,500,West,10,4,No,2,Left
336,59,Female,3,2200,West,7,5,Yes,1,Left
337,69,Female,4,900,East,8,4,No,1,Left
338,52,Male,5,4200,West,9,5,No,3,Center-Left
339,80,Male,2,1800,West,8,2,Yes,3,Center-Left
340,73,Female,3,1300,West,8,3,No,6,Center-Right
341,29,Male,3,2000,East,9,5,No,6,Center-Right
342,39,Male,5,1200,West,7,4,No,1,Left
343,44,Male,5,3000,East,8,4,Yes,1,Left
344,61,Female,2,420,West,8,4,No,2,Left
345,51,Female,5,1900,West,9,5,No,6,Center-Right
346,56,Male,5,1875,East,9,4,No,2,Left
347,63,Male,3,1000,East,10,3,No,5,Center-Right
348,42,Female,5,2400,West,8,2,No,3,Center-Left
349,32,Female,2,700,West,6,4,No,9,Right
350,73,Female,3,813,East,8,4,Yes,2,Left
351,38,Female,5,3225,West,8,4,No,2,Left
352,80,Female,2,1400,West,6,1,No,5,Center-Right
353,52,Male,5,3000,West,9,4,Yes,3,Center-Left
354,32,Female,5,3200,West,9,4,Yes,5,Center-Right
355,50,Female,3,1400,West,6,3,No,3,Center-Left
356,79,Female,2,920,East,6,4,No,3,Center-Left
357,45,Male,3,1500,East,3,3,No,5,Center-Right
358,54,Female,4,2100,West,6,3,Yes,2,Left
359,66,Female,3,1800,West,8,3,No,6,Center-Right
360,76,Female,5,30,West,10,5,Yes,6,Center-Right
361,50,Male,3,1600,East,7,4,No,5,Center-Right
362,28,Female,3,1800,West,10,5,No,5,Center-Right
363,80,Female,5,1200,West,9,5,No,5,Center-Right
364,53,Male,2,1500,West,10,4,No,6,Center-Right
365,80,Female,2,900,East,5,2,No,1,Left
366,39,Female,3,800,West,7,3,Yes,2,Left
367,65,Male,2,1800,West,8,4,No,3,Center-Left
368,29,Female,3,1100,East,6,5,No,3,Center-Left
369,59,Female,3,1300,East,8,5,No,6,Center-Right
370,58,Male,3,3500,West,9,4,No,3,Center-Left
371,61,Male,2,830,West,7,1,No,3,Center-Left
372,53,Male,4,3500,West,9,4,No,6,Center-Right
373,56,Female,2,2500,West,9,4,No,9,Right
374,36,Male,3,1680,East,8,3,No,9,Right
375,38,Male,3,1600,East,8,4,No,9,Right
376,81,Male,2,1313,East,6,2,No,9,Right
377,49,Male,2,2625,West,7,2,No,9,Right
378,81,Male,2,1500,West,6,4,No,3,Center-Left
379,50,Female,3,1200,West,8,5,No,9,Right
380,34,Female,5,630,East,3,1,No,2,Left
381,46,Male,5,3000,West,8,3,No,4,Center-Left
382,23,Male,5,400,East,8,5,Yes,2,Left
383,39,Female,3,700,West,7,4,No,3,Center-Left
384,45,Male,3,2700,East,8,3,No,3,Center-Left
385,35,Female,5,2800,West,10,5,Yes,2,Left
386,54,Male,4,1800,West,9,3,Yes,2,Left
387,53,Male,3,1500,East,9,4,No,9,Right
388,66,Female,3,240,West,9,3,No,3,Center-Left
389,50,Female,5,3100,West,8,3,No,3,Center-Left
390,56,Female,3,730,West,1,1,No,6,Center-Right
391,54,Female,3,600,West,8,5,No,2,Left
392,77,Female,2,1400,East,10,5,No,6,Center-Right
393,78,Male,3,1200,East,7,2,No,1,Left
394,68,Male,3,2200,West,9,4,No,6,Center-Right
395,63,Female,2,700,West,8,3,No,3,Center-Left
396,32,Female,3,750,West,9,5,No,6,Center-Right
397,20,Female,5,400,West,9,5,No,5,Center-Right
398,20,Male,3,270,West,8,3,No,5,Center-Right
399,59,Male,3,1100,West,9,4,No,2,Left
400,75,Female,5,2600,West,10,4,Yes,3,Center-Left
401,26,Female,5,450,West,9,3,No,6,Center-Right
402,76,Male,5,2500,East,7,2,No,6,Center-Right
403,26,Female,5,120,West,7,5,No,2,Left
404,56,Female,5,2500,West,10,4,No,3,Center-Left
405,71,Female,3,1188,West,8,4,No,5,Center-Right
406,54,Male,3,415,East,8,4,No,6,Center-Right
407,84,Female,3,1397,East,8,3,No,3,Center-Left
408,74,Male,2,905,East,10,4,No,6,Center-Right
409,56,Male,4,600,West,5,3,No,1,Left
410,65,Male,1,1050,East,5,3,No,1,Left
411,41,Male,5,2800,East,8,4,No,6,Center-Right
412,48,Female,5,4000,East,8,5,Yes,1,Left
413,69,Male,4,1500,West,9,5,No,3,Center-Left
414,39,Male,3,2000,West,10,5,Yes,6,Center-Right
415,59,Male,5,2500,West,3,4,No,5,Center-Right
416,26,Female,4,400,West,8,3,No,9,Right
417,30,Male,3,700,East,3,2,No,9,Right
418,66,Male,5,3400,West,8,4,No,9,Right
419,38,Male,3,3500,West,8,3,Yes,6,Center-Right
420,35,Female,3,1800,West,5,2,No,3,Center-Left
421,53,Female,3,450,East,8,3,No,2,Left
422,46,Male,5,4000,West,8,5,Yes,1,Left
423,73,Female,5,350,West,8,3,No,3,Center-Left
424,58,Female,2,1500,West,4,2,No,5,Center-Right
425,49,Male,5,3100,East,8,4,No,9,Right
426,33,Male,5,6250,East,9,5,Yes,5,Center-Right
427,52,Male,2,3500,West,8,4,No,9,Right
428,53,Male,3,350,West,4,2,No,3,Center-Left
429,74,Female,2,1200,East,8,4,No,3,Center-Left
430,71,Male,2,1625,West,5,3,No,3,Center-Left
431,48,Female,5,2400,West,8,3,No,3,Center-Left
432,28,Female,5,450,West,9,5,Yes,2,Left
433,79,Male,5,1600,East,9,5,Yes,2,Left
434,28,Male,3,1500,East,10,5,No,1,Left
435,40,Male,3,1700,East,3,4,No,9,Right
436,66,Female,2,220,West,8,4,No,3,Center-Left
437,28,Male,5,1100,East,8,4,No,2,Left
438,32,Female,5,3300,West,9,4,Yes,2,Left
439,64,Female,5,50,East,10,5,Yes,3,Center-Left
440,57,Female,2,1200,West,10,3,No,6,Center-Right
441,65,Female,3,1100,East,8,4,No,3,Center-Left
442,79,Male,2,1500,East,8,3,No,3,Center-Left
443,79,Female,2,980,East,8,4,No,6,Center-Right
444,44,Male,3,4500,West,8,4,No,4,Center-Left
445,21,Female,5,550,West,10,5,No,3,Center-Left
446,24,Female,5,1300,West,7,4,No,5,Center-Right
447,52,Female,3,1500,West,8,4,No,2,Left
448,49,Male,5,4000,West,10,5,Yes,2,Left
449,44,Female,3,2900,West,8,2,No,6,Center-Right
450,76,Male,4,1300,West,3,4,No,9,Right
451,53,Female,3,1700,West,9,3,No,2,Left
452,47,Male,3,2100,East,8,4,No,5,Center-Right
453,74,Female,2,420,West,8,2,No,6,Center-Right
454,42,Male,4,4800,West,6,4,No,6,Center-Right
455,78,Female,3,600,West,5,2,No,9,Right
456,47,Female,5,2000,West,9,4,Yes,6,Center-Right
457,29,Male,3,800,West,9,4,Yes,3,Center-Left
458,79,Male,2,1313,West,10,4,Yes,9,Right
459,67,Female,2,900,West,5,3,No,6,Center-Right
460,40,Female,3,120,West,7,3,No,6,Center-Right
461,51,Female,3,1100,East,7,3,No,3,Center-Left
462,50,Female,4,1500,West,4,3,No,3,Center-Left
463,71,Male,5,2400,West,10,4,No,3,Center-Left
464,65,Male,5,700,East,8,4,No,6,Center-Right
465,43,Female,2,900,West,8,3,No,9,Right
466,85,Male,2,1900,East,6,3,No,1,Left
467,47,Male,5,8750,West,9,5,Yes,5,Center-Right
468,91,Female,2,1300,West,8,4,No,6,Center-Right
469,20,Female,3,380,West,8,4,No,6,Center-Right
470,65,Male,3,1063,West,8,3,No,3,Center-Left
471,25,Male,5,3000,West,9,5,No,9,Right
472,72,Female,5,2500,West,6,2,No,2,Left
473,76,Male,2,1300,East,10,1,No,3,Center-Left
474,20,Male,3,1400,West,8,4,No,6,Center-Right
475,36,Female,5,600,West,7,4,Yes,6,Center-Right
476,25,Male,5,2500,West,8,5,Yes,6,Center-Right
477,21,Male,4,450,West,9,5,No,5,Center-Right
478,54,Female,3,1100,West,9,5,No,3,Center-Left
479,49,Male,2,725,West,6,3,No,6,Center-Right
480,69,Male,3,850,East,5,2,No,6,Center-Right
481,67,Male,2,1200,West,9,4,No,6,Center-Right
482,73,Female,3,300,West,10,4,No,3,Center-Left
483,21,Female,5,1577,West,7,4,No,2,Left
484,76,Male,2,1150,West,8,4,No,1,Left
485,19,Male,3,600,West,10,5,No,2,Left
486,46,Male,3,1800,East,7,4,No,1,Left
487,22,Male,5,600,East,9,5,No,5,Center-Right
488,51,Female,5,800,West,7,4,No,2,Left
489,81,Male,2,1500,West,10,2,No,3,Center-Left
490,76,Male,2,1400,East,8,2,No,1,Left
491,51,Female,4,813,West,9,4,No,6,Center-Right
492,72,Male,3,1400,West,8,3,No,3,Center-Left
493,38,Male,5,1400,East,9,4,No,3,Center-Left
494,23,Male,3,1063,East,9,4,No,1,Left
495,46,Female,5,1600,West,10,5,No,6,Center-Right
496,47,Female,3,1000,East,4,5,No,9,Right
497,70,Male,2,690,West,8,2,Yes,3,Center-Left
498,44,Female,5,700,West,6,4,No,2,Left
499,50,Male,4,1800,West,8,4,No,1,Left
500,32,Male,2,1300,East,3,4,Yes,1,Left
501,84,Male,2,1200,East,5,3,No,1,Left
502,41,Female,3,700,West,7,4,No,3,Center-Left
503,19,Male,5,450,West,8,4,No,5,Center-Right
504,54,Male,3,2700,East,8,4,No,3,Center-Left
505,47,Male,3,1600,East,7,5,No,6,Center-Right
506,56,Male,5,2000,East,7,4,No,6,Center-Right
507,46,Female,5,2500,East,9,4,No,9,Right
508,42,Male,5,6000,West,8,4,No,5,Center-Right
509,30,Female,5,1313,West,10,5,Yes,3,Center-Left
510,37,Male,3,3200,West,10,4,No,6,Center-Right
511,20,Male,5,450,East,8,4,Yes,3,Center-Left
512,55,Male,5,5000,West,9,5,No,9,Right
513,52,Female,5,3500,East,7,4,No,2,Left
514,66,Female,4,1200,West,8,4,No,6,Center-Right
515,46,Male,5,2300,West,9,5,No,2,Left
516,36,Male,3,2125,East,8,4,No,9,Right
