sepal_length,sepal_width,petal_length,petal_width,species,Emb_dim1,Emb_dim2
5.5,4.2,1.4,0.2,setosa,0.0,-0.13863855816363285
4.9,3.1,1.5,0.2,setosa,0.0,0.09858831885239884
5.0,3.2,1.2,0.2,setosa,0.0,0.1494598703183916
5.5,3.5,1.3,0.2,setosa,0.0,-0.0817980681279532
4.9,3.6,1.4,0.1,setosa,0.0,-0.1159715585881134
4.4,3.0,1.3,0.2,setosa,0.0,0.22385095362385277
5.1,3.4,1.5,0.2,setosa,0.0,-0.01935763784279243
5.0,3.5,1.3,0.3,setosa,0.0,-0.0987523039757285
4.5,2.3,1.3,0.3,setosa,0.0,0.5054345852255613
4.4,3.2,1.3,0.2,setosa,0.0,0.11541819755901488
5.0,3.5,1.6,0.6,setosa,0.0,-0.06288241199377674
5.1,3.8,1.9,0.4,setosa,0.0,-0.14208749363983605
4.8,3.0,1.4,0.3,setosa,0.0,0.18970374947995236
5.1,3.8,1.6,0.2,setosa,0.0,-0.13693144292708054
4.6,3.2,1.4,0.2,setosa,0.0,0.08060509239176553
5.3,3.7,1.5,0.2,setosa,0.0,-0.13459015476275862
5.0,3.3,1.4,0.2,setosa,0.0,0.027662482286153835
7.0,3.2,4.7,1.4,versicolor,-0.10000000003216039,0.0
6.4,3.2,4.5,1.5,versicolor,-0.10000000003155514,0.0
6.9,3.1,4.9,1.5,versicolor,-0.10000000002310683,0.0
5.5,2.3,4.0,1.3,versicolor,-0.09999999993957376,0.0
6.5,2.8,4.6,1.5,versicolor,-0.09999999999001608,0.0
5.7,2.8,4.5,1.3,versicolor,-0.09999999998498944,0.0
6.3,3.3,4.7,1.6,versicolor,-0.1000000000439619,0.0
4.9,2.4,3.3,1.0,versicolor,-0.09999999984303172,0.0
6.6,2.9,4.6,1.3,versicolor,-0.09999999999505448,0.0
5.2,2.7,3.9,1.4,versicolor,-0.09999999995867626,0.0
5.0,2.0,3.5,1.0,versicolor,-0.09999999984440129,0.0
5.9,3.0,4.2,1.5,versicolor,-0.09999999999155916,0.0
6.0,2.2,4.0,1.0,versicolor,-0.0999999999044945,0.0
6.1,2.9,4.7,1.4,versicolor,-0.09999999999721002,0.0
5.6,2.9,3.6,1.3,versicolor,-0.09999999992535843,0.0
6.7,3.1,4.4,1.4,versicolor,-0.10000000001838975,0.0
5.6,3.0,4.5,1.5,versicolor,-0.10000000001062438,0.0
5.8,2.7,4.1,1.0,versicolor,-0.09999999994227174,0.0
6.2,2.2,4.5,1.5,versicolor,-0.09999999993516989,0.0
5.6,2.5,3.9,1.1,versicolor,-0.09999999991790907,0.0
5.9,3.2,4.8,1.8,versicolor,-0.10000000003423144,0.0
6.1,2.8,4.0,1.3,versicolor,-0.09999999996262049,0.0
6.3,2.5,4.9,1.5,versicolor,-0.09999999995740153,0.0
6.1,2.8,4.7,1.2,versicolor,-0.09999999998230488,0.0
6.4,2.9,4.3,1.3,versicolor,-0.09999999999492984,0.0
6.6,3.0,4.4,1.4,versicolor,-0.10000000000795503,0.0
6.8,2.8,4.8,1.4,versicolor,-0.09999999998685383,0.0
6.7,3.0,5.0,1.7,versicolor,-0.10000000001320586,0.0
6.0,2.9,4.5,1.5,versicolor,-0.10000000000037682,0.0
5.7,2.6,3.5,1.0,versicolor,-0.09999999987202471,0.0
5.5,2.4,3.8,1.1,versicolor,-0.09999999990365258,0.0
5.5,2.4,3.7,1.0,versicolor,-0.09999999988338719,0.0
5.8,2.7,3.9,1.2,versicolor,-0.09999999993816751,0.0
6.0,2.7,5.1,1.6,versicolor,-0.09999999997891425,0.0
5.4,3.0,4.5,1.5,versicolor,-0.10000000001061005,0.0
6.0,3.4,4.5,1.6,versicolor,-0.1000000000541521,0.0
6.7,3.1,4.7,1.5,versicolor,-0.10000000002064684,0.0
6.3,2.3,4.4,1.3,versicolor,-0.09999999994348782,0.0
5.6,3.0,4.1,1.3,versicolor,-0.09999999998148532,0.0
5.5,2.5,4.0,1.3,versicolor,-0.09999999994857992,0.0
5.5,2.6,4.4,1.2,versicolor,-0.09999999996875922,0.0
6.1,3.0,4.6,1.4,versicolor,-0.10000000000768378,0.0
5.8,2.6,4.0,1.2,versicolor,-0.09999999994276412,0.0
5.0,2.3,3.3,1.0,versicolor,-0.09999999983842588,0.0
5.6,2.7,4.2,1.3,versicolor,-0.09999999997747176,0.0
5.7,3.0,4.2,1.2,versicolor,-0.09999999999043321,0.0
5.7,2.9,4.2,1.3,versicolor,-0.09999999998583474,0.0
6.2,2.9,4.3,1.3,versicolor,-0.09999999999491063,0.0
5.1,2.5,3.0,1.1,versicolor,-0.09999999981794404,0.0
5.7,2.8,4.1,1.3,versicolor,-0.09999999997233255,0.0
6.3,3.3,6.0,2.5,virginica,-0.10000000008941577,0.0
5.8,2.7,5.1,1.9,virginica,-0.09999999997910676,0.0
7.1,3.0,5.9,2.1,virginica,-0.10000000005924928,0.0
6.3,2.9,5.6,1.8,virginica,-0.10000000002774966,0.0
6.5,3.0,5.8,2.2,virginica,-0.10000000005394656,0.0
7.6,3.0,6.6,2.1,virginica,-0.10000000009941663,0.0
4.9,2.5,4.5,1.7,virginica,-0.09999999996441991,0.0
7.3,2.9,6.3,1.8,virginica,-0.10000000007166471,0.0
6.7,2.5,5.8,1.8,virginica,-0.10000000002815963,0.0
7.2,3.6,6.1,2.5,virginica,-0.10000000011119459,0.0
6.5,3.2,5.1,2.0,virginica,-0.10000000002965284,0.0
6.4,2.7,5.3,1.9,virginica,-0.09999999998067541,0.0
6.8,3.0,5.5,2.1,virginica,-0.10000000003081781,0.0
5.7,2.5,5.0,2.0,virginica,-0.09999999995505306,0.0
5.8,2.8,5.1,2.4,virginica,-0.09999999999292618,0.0
6.4,3.2,5.3,2.3,virginica,-0.1000000000342848,0.0
6.5,3.0,5.5,1.8,virginica,-0.10000000002720794,0.0
7.7,3.8,6.7,2.2,virginica,-0.10000000014643697,0.0
7.7,2.6,6.9,2.3,virginica,-0.10000000010779071,0.0
6.0,2.2,5.0,1.5,virginica,-0.09999999992775865,0.0
6.9,3.2,5.7,2.3,virginica,-0.10000000005956793,0.0
5.6,2.8,4.9,2.0,virginica,-0.09999999998877679,0.0
7.7,2.8,6.7,2.0,virginica,-0.10000000009552806,0.0
6.3,2.7,4.9,1.8,virginica,-0.09999999997792279,0.0
6.7,3.3,5.7,2.1,virginica,-0.10000000006053965,0.0
7.2,3.2,6.0,1.8,virginica,-0.10000000006503515,0.0
6.2,2.8,4.8,1.8,virginica,-0.09999999998871717,0.0
6.1,3.0,4.9,1.8,virginica,-0.10000000001264552,0.0
6.4,2.8,5.6,2.1,virginica,-0.10000000002737218,0.0
7.2,3.0,5.8,1.6,virginica,-0.10000000003739642,0.0
7.4,2.8,6.1,1.9,virginica,-0.10000000005902371,0.0
7.9,3.8,6.4,2.0,virginica,-0.1000000001233052,0.0
6.4,2.8,5.6,2.2,virginica,-0.10000000002917672,0.0
6.3,2.8,5.1,1.5,virginica,-0.0999999999889225,0.0
6.1,2.6,5.6,1.4,virginica,-0.10000000001000274,0.0
7.7,3.0,6.1,2.3,virginica,-0.10000000007680636,0.0
6.3,3.4,5.6,2.4,virginica,-0.10000000006626525,0.0
6.4,3.1,5.5,1.8,virginica,-0.10000000003063568,0.0
6.0,3.0,4.8,1.8,virginica,-0.10000000001147635,0.0
6.9,3.1,5.4,2.1,virginica,-0.10000000003041418,0.0
6.7,3.1,5.6,2.4,virginica,-0.10000000004927424,0.0
6.9,3.1,5.1,2.3,virginica,-0.10000000001818624,0.0
5.8,2.7,5.1,1.9,virginica,-0.09999999997910876,0.0
6.8,3.2,5.9,2.3,virginica,-0.10000000007342986,0.0
6.7,3.3,5.7,2.5,virginica,-0.10000000006916092,0.0
6.7,3.0,5.2,2.3,virginica,-0.10000000001383012,0.0
6.3,2.5,5.0,1.9,virginica,-0.0999999999553194,0.0
6.5,3.0,5.2,2.0,virginica,-0.10000000001750652,0.0
6.2,3.4,5.4,2.3,virginica,-0.10000000005163924,0.0
5.9,3.0,5.1,1.8,virginica,-0.10000000001502332,0.0
